"Time","value","curve"
94,9.325,"97,.5% quantile"
95,8,"97,.5% quantile"
96,8.775,"97,.5% quantile"
97,8.65,"97,.5% quantile"
98,6.55,"97,.5% quantile"
99,4.55,"97,.5% quantile"
100,5.55,"97,.5% quantile"
101,4.775,"97,.5% quantile"
102,4.55,"97,.5% quantile"
103,6.1,"97,.5% quantile"
104,4.875,"97,.5% quantile"
105,2.55,"97,.5% quantile"
106,2.55,"97,.5% quantile"
107,1,"97,.5% quantile"
108,1,"97,.5% quantile"
109,1,"97,.5% quantile"
110,1,"97,.5% quantile"
111,1,"97,.5% quantile"
112,1,"97,.5% quantile"
113,1,"97,.5% quantile"
114,1,"97,.5% quantile"
115,0.775,"97,.5% quantile"
116,0.775,"97,.5% quantile"
117,0.775,"97,.5% quantile"
118,2.325,"97,.5% quantile"
119,1.55,"97,.5% quantile"
120,2.325,"97,.5% quantile"
121,1.55,"97,.5% quantile"
122,2.55,"97,.5% quantile"
123,3.325,"97,.5% quantile"
124,1.775,"97,.5% quantile"
125,2.55,"97,.5% quantile"
126,0,"97,.5% quantile"
127,0,"97,.5% quantile"
128,0.775,"97,.5% quantile"
129,0,"97,.5% quantile"
130,0,"97,.5% quantile"
131,0,"97,.5% quantile"
132,0,"97,.5% quantile"
133,0,"97,.5% quantile"
134,0,"97,.5% quantile"
135,0,"97,.5% quantile"
136,0,"97,.5% quantile"
137,0,"97,.5% quantile"
138,0,"97,.5% quantile"
139,0,"97,.5% quantile"
140,0,"97,.5% quantile"
141,0,"97,.5% quantile"
142,0,"97,.5% quantile"
143,0,"97,.5% quantile"
144,0,"97,.5% quantile"
145,0,"97,.5% quantile"
146,0,"97,.5% quantile"
147,0,"97,.5% quantile"
148,0,"97,.5% quantile"
149,0,"97,.5% quantile"
150,0,"97,.5% quantile"
151,0,"97,.5% quantile"
152,0,"97,.5% quantile"
153,0,"97,.5% quantile"
154,0,"97,.5% quantile"
155,0,"97,.5% quantile"
156,0,"97,.5% quantile"
157,0,"97,.5% quantile"
158,0,"97,.5% quantile"
159,0,"97,.5% quantile"
160,0,"97,.5% quantile"
161,0,"97,.5% quantile"
162,0,"97,.5% quantile"
163,0,"97,.5% quantile"
164,0,"97,.5% quantile"
165,0,"97,.5% quantile"
166,0,"97,.5% quantile"
167,0,"97,.5% quantile"
168,0,"97,.5% quantile"
169,0,"97,.5% quantile"
170,0,"97,.5% quantile"
171,0,"97,.5% quantile"
172,0,"97,.5% quantile"
173,0,"97,.5% quantile"
174,0,"97,.5% quantile"
175,0,"97,.5% quantile"
176,0,"97,.5% quantile"
177,0,"97,.5% quantile"
178,0,"97,.5% quantile"
179,0,"97,.5% quantile"
180,0,"97,.5% quantile"
181,0,"97,.5% quantile"
182,0,"97,.5% quantile"
183,0,"97,.5% quantile"
184,0,"97,.5% quantile"
185,0,"97,.5% quantile"
186,0,"97,.5% quantile"
187,0,"97,.5% quantile"
188,0,"97,.5% quantile"
189,0,"97,.5% quantile"
190,0,"97,.5% quantile"
191,0,"97,.5% quantile"
192,0,"97,.5% quantile"
193,0,"97,.5% quantile"
194,0,"97,.5% quantile"
195,0,"97,.5% quantile"
196,0,"97,.5% quantile"
197,0,"97,.5% quantile"
198,0,"97,.5% quantile"
199,0,"97,.5% quantile"
200,0,"97,.5% quantile"
201,0,"97,.5% quantile"
202,0,"97,.5% quantile"
203,0,"97,.5% quantile"
204,0,"97,.5% quantile"
205,0,"97,.5% quantile"
206,0,"97,.5% quantile"
207,0,"97,.5% quantile"
